time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
5.60200000,25.13229078,22.47891723,1.86442717,6.38172229,0.07992956,-0.01286112,-4.98968314,0.00000000,0.00000000,0.98075471,-0.02507285,-0.18916531,0.04132828,0.28208446,-0.03465866,-0.56620518,258,0.00000000
5.66200000,25.50582990,22.48419330,1.86302238,6.07515095,0.09369393,-0.03173876,-5.06141386,-0.00000000,-0.00000000,0.98190009,-0.01232444,-0.18697993,0.02754691,0.35739525,0.15677672,-0.49811494,261,0.00000000
5.74200000,25.97557888,22.49178290,1.86003498,5.67609762,0.09229952,-0.03963214,-5.13090879,0.00000000,0.00000000,0.98387590,0.00436400,-0.17838933,0.01209998,0.29994414,0.23716507,-0.41698351,265,0.00000000
5.80200000,26.30730460,22.49693568,1.85776950,5.38798633,0.07819168,-0.03506376,-5.15410684,0.00000000,-0.00000000,0.98504312,0.01348616,-0.17176829,0.00195654,0.17682679,0.20747757,-0.36134309,267,0.00000000
5.86300000,26.62723211,22.50107950,1.85575532,5.10808359,0.05734849,-0.03045893,-5.17410552,0.00000000,-0.00000000,0.98619149,0.01835306,-0.16442155,-0.00742074,0.03187277,0.25729308,-0.30779181,270,0.00000000
5.94300000,27.02157536,22.50448815,1.85388927,4.75772557,0.02883492,-0.01461564,-5.17261890,-0.00000000,0.00000000,0.98739163,0.01798508,-0.15618617,-0.01844387,-0.12994930,0.11708533,-0.24199445,274,0.00000000
6.00300000,27.29926384,22.50568760,1.85350062,4.50348689,0.01250275,0.00161733,-5.15007062,0.00000000,-0.00000000,0.98743984,0.01408242,-0.15525867,-0.02567101,-0.19245489,-0.07130402,-0.19564203,277,0.00000000
6.06300000,27.56176082,22.50612675,1.85408696,4.25029076,0.00364143,0.01728237,-5.10899464,0.00000000,-0.00000000,0.98658572,0.00883912,-0.15987333,-0.03179623,-0.19774426,-0.24819909,-0.15197701,280,0.00000000
6.12300000,27.80895812,22.50628157,1.85548757,3.99332077,0.00279003,0.02711802,-5.07129879,0.00000000,-0.00000000,0.98505478,0.00392662,-0.16826391,-0.03659110,-0.15744286,-0.28285672,-0.11055179,282,0.00000000
6.20300000,28.11436523,22.50679242,1.85768759,3.64506574,0.01126890,0.02714585,-4.97125250,0.00000000,-0.00000000,0.98347416,-0.00014783,-0.17640876,-0.04072476,-0.05977328,-0.14782376,-0.06216969,286,0.00000000
6.26400000,28.32839531,22.50778378,1.85930659,3.37658989,0.02122871,0.02587297,-4.87485924,0.00000000,-0.00000000,0.98283374,-0.00056883,-0.17960356,-0.04219103,0.02139674,-0.06998726,-0.03056193,289,0.00000000
6.32400000,28.52294564,22.50934759,1.86080901,3.11310476,0.03040458,0.02423718,-4.76049417,0.00000000,-0.00000000,0.98262431,0.00108252,-0.18069738,-0.04238800,0.08178098,-0.00229122,-0.00401993,292,0.00000000
6.40400000,28.75790874,22.51212084,1.86267231,2.76656120,0.03762676,0.02246913,-4.58082253,-0.00000000,0.00000000,0.98288220,0.00511070,-0.17949522,-0.04120584,0.11443954,0.06919799,0.02455791,296,0.00000000
